LEA,SCHOOL_NAME,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,1617_ESSA,1718_ESSA,1819_ESSA,2021_ESSA,2122_ESSA,2223_ESSA,1617_SQSS,1718_SQSS,1819_SQSS,2021_SQSS,2122_SQSS,2223_SQSS
6606062,Mansfield High School,19.88,19.13,19.76,19.77,18.15,18.19,19.15,62.73,65.07,61.4,60.26,64.37,60.07,49.86,48.88,46.21,41.38,47.21,48.07
6701001,Dequeen Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.19,78.36,78.02,70.13,70.92,72.29,59.7,58.77,60.05,47.97,47.44,51.5
6701002,Dequeen Primary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.04,78.82,77.87,70.29,68.34,72.75,65.34,61.8,59.06,49.01,30.24,54.53
6701003,Dequeen High School,19.22,19.46,19.58,19.53,18.72,18.4,18.56,70.55,68.14,66.98,65,66.94,64.57,54.83,54.71,52.87,45.75,44.79,48.52
6701004,Dequeen Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.19,75.74,76.36,67.77,72.34,74.53,56.31,55.4,56.46,48.68,45.45,53.37
6701005,Dequeen Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.85,73.56,74.68,68.91,69.83,71.09,58.86,60.16,61.92,51.85,50.59,55.98
6701016,Lockesburg Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6703012,Horatio Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.87,70.01,73.55,67.44,70.09,65.55,53.75,54.63,61.73,45.63,53.12,48.9
6703013,Horatio High School,18.89,19.53,18.21,19.2,17.25,17.49,17.49,70.92,65.71,65.81,67.78,70.31,67.73,53.26,52.48,54.4,52.78,57.15,57.34
6802001,Cave City Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.44,69.09,70.67,67.88,71.52,72.84,59.38,55.7,57.19,59.97,63.1,68.49
6802002,Cave City High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6802005,Evening Shade Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6802007,Cave City Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.31,72.49,74.62,69.78,N/A,N/A,56.78,51.59,57.57,56.05,N/A,N/A
6802008,Cave City Intermediate School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6804009,Cherokee Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.42,72.47,74.77,71.8,73.11,69.45,57.66,62.23,61.34,56.06,53.61,48.35
6804010,Highland High School,19.62,19.18,20.1,19.1,19.19,18.17,18.24,67.28,68.18,69.98,66.88,67.77,67.76,49.15,52.56,52.02,46.84,51.27,52.8
6804011,Highland Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.39,71.37,69.65,66.23,74.31,74.91,51.56,54.13,53.94,48.01,55.57,59.04
6901005,Mountain View Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.87,78.39,78.53,66.82,70.02,70.2,68.78,64.45,64.53,61.87,58.72,55.3
6901006,Mountain View Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.79,72.19,72.47,65.72,70.17,67.91,59.83,57.94,58.44,51.7,53.15,54.88
6901007,Mountain View High School,20.72,20.84,19.43,19.79,19.78,19.32,19.59,74.11,70.16,70.42,64.91,66.19,66.93,56.83,54.23,55.66,54.85,53.74,54.15
6901011,Rural Special Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.91,72.37,78.6,77.87,71.41,72.6,59.56,58.6,67.27,73.87,61.72,60.13
6901012,Rural Special High School,18.31,17.31,20.53,22.7,17.64,18.59,21.17,79.08,74.13,75.98,73.21,69.9,81.39,59.96,59.38,65.05,61.01,48.73,65.95
6901015,Timbo Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.08,74.82,72.05,64.84,74.8,68.85,62.08,59.54,55.63,50,54.41,49.52
6901016,Timbo High School,20.2,20.33,21.35,17.6,20.09,20.25,20.2,78.13,75.55,76.03,64.92,63.18,65.45,57.62,62.84,59.95,54.17,50.6,54.31
7001001,Hugh Goodwin Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.79,76.8,82.84,76.18,74.93,78.45,69.22,70.19,72.51,71.67,63.76,62.06
7001004,Northwest Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.83,66.17,66.8,68.88,70.69,67.7,56.11,62.31,60.59,62.24,57.77,55.83
7001005,Retta Brown Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.56,57.98,62.51,N/A,N/A,N/A,40.22,33.53,42.23,N/A,N/A,N/A
7001009,Yocum Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.87,56.25,62.44,62.69,62.13,60.24,43.98,36.73,49.33,53.07,44.17,44.92
7001010,Barton Jr. High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.41,67.1,67.18,62.26,62.97,65.54,49.03,51.59,48.3,44.85,45.51,50.36
7001011,Washington Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.77,65.79,64.51,65.08,65.52,66.68,48.04,45.95,42.34,47,45.85,47.31
7001012,El Dorado High School,19.26,19.24,18.85,18.71,18.58,18.02,17.56,61.86,63.08,64.83,60.28,64.25,60.22,48.77,50.29,49.92,46.31,46.52,44.11
7003027,Junction City Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.99,63.85,63.93,56.88,61.15,64.21,43.95,47.59,51.19,48.75,41.74,52.59
7003028,Junction City High School,18.29,18.9,18.3,17.31,16,16.95,16.25,65.38,65.07,61.43,61.58,61.5,60.59,47.66,49.93,47.2,47.56,43.91,45.03
7006035,Norphlet Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7006036,Norphlet High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7007039,Parkers Chapel Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.02,76.22,71.97,74.04,75.91,73.15,66.45,62.74,60.67,63.6,62.76,56.7
7007040,Parkers Chapel High School,20.31,19.55,19.39,20.21,18.54,18.35,20.24,74.18,71.71,70.18,66.3,71.53,69.89,57.91,55.9,54.9,50.76,55.38,56.94
7008043,Smackover Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.6,73,77.24,73.14,65.86,64.74,65.01,65.81,68.08,60.55,51.18,42.15
7008045,Smackover High School,18.9,18.26,19.45,18.85,18.68,17.82,16,67.31,64.36,65.29,59.87,61.97,62.72,53.66,53.36,54.44,50.57,47.16,48.66
7009048,Gardner-Strong Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.04,56.47,N/A,N/A,N/A,N/A,51.63,55.06,N/A,N/A,N/A,N/A
7009049,Strong High School,16.11,16.52,N/A,N/A,N/A,N/A,N/A,59.71,56.03,N/A,N/A,N/A,N/A,43.46,39.9,N/A,N/A,N/A,N/A
7102005,Cowsert Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.58,74.36,71.81,73.45,69.47,70.42,55.85,54.76,54.55,58.18,47.99,51.55
7102006,Clinton High School,20.87,20.81,19.18,18.94,20.67,19.86,19.6,69.9,70.79,73.01,69.94,69.96,69.29,56.61,57.52,58.25,55.62,48.71,54.68
7102007,Clinton Intermediate School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7102008,Clinton Jr High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.08,75.09,75.85,69.42,69.54,72.01,58.44,60.64,60.98,57.18,51.47,54.34
7104014,Shirley Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.04,65.23,71,51.9,57.79,56.4,53.16,49.47,53.01,49.73,37.58,39.59
7104015,Shirley High School,18.5,19.1,18.59,19.23,17.08,18.75,14.67,69.83,71.04,69.2,59.41,58.02,55.12,50.21,58.5,53.97,45.44,42.75,40.02
7105018,South Side Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.5,70.26,69.82,67.43,67.34,66.53,56.96,60.1,64.32,57.91,55.16,57.86
7105019,South Side High School,18.41,18.2,16.74,19.07,17.68,18.97,18.87,69.92,71.21,69.81,65.73,64.07,69.91,58.26,55.96,53.47,53.8,50.05,54.11
7201001,Elkins Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.41,69.5,72.5,70.36,72.47,75.35,47.82,51.72,55.14,54.82,55.17,55.87
7201002,Elkins High School,18.63,19.36,19.14,19.41,19.87,18.9,17.68,66.85,67.38,68.84,64.81,66.15,68.73,56.12,55.5,55.84,56.5,53.97,55.2
7201003,Elkins Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.84,72.7,70.83,70.41,73.98,74.59,62.42,61.48,63.96,59.82,56.87,58.44
7201004,Elkins Elem. Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.42,71.89,77.88,74.77,76.34,78.61,67.9,67.66,90.99,84.23,80.94,77.63
7202005,George R Ledbetter Intermediat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.14,74.18,N/A,N/A,N/A,N/A,56.92,55.17,N/A,N/A,N/A,N/A
7202006,Farmington High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7202007,Randall G. Lynch Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.61,74.74,N/A,N/A,N/A,N/A,60.46,60.73,N/A,N/A,N/A,N/A
7202008,"Jerry ""pop"" Williams Elem Sch",N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.9,82.14,81.51,71.19,75.63,76.54,71.31,69.79,71.2,71.43,65.25,60.46
7202009,Bob Folsom Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.65,80.69,82.54,70.91,74.02,71.3,67.82,68.82,68.75,74.9,65.7,80.7
7203010,Asbell Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.61,69.71,70.67,60.38,69.78,70.16,50.59,47.8,45.95,38.58,46.27,42.02
7203012,Butterfield Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.5,81.17,82.32,75.31,74.51,78.8,68.11,66.2,66.02,67.32,58.07,61.21
7203013,Happy Hollow Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.14,78.6,77.47,76.9,71.89,73.42,65.36,63.62,58.01,64.45,50.15,53.11
7203015,Leverett Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.14,76.52,79.23,65.58,67.03,74.79,77.2,67.12,58.21,54.48,48.16,70.61
7203016,Root Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.65,84.18,85.72,85.86,84.77,88.14,75,63.46,69.36,76.27,67.46,66.54
7203017,Washington Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.47,73.47,69.22,59.23,68.64,72.33,55.49,59.64,56.32,53.91,50.9,48.14
